from,to,weight
11956484,4238408,6
11578327,2901002,1
11608340,11492024,1
12369529,11903814,1
9538252,4001592,1
12275675,1428102,1
7533983,10908375,1
7533983,11938023,2
12447125,9081267,1
12275675,11080708,2
12275675,8158497,2
12442832,11080708,2
11995602,4238408,2
11927597,11140418,2
11927597,12382828,2
1761521,4238408,1
9413910,11938023,2
11500955,10443817,2
12426448,9177877,2
7547586,6031995,1
12314453,3714404,1
4430536,9908952,1
1497720,9840637,1
8568110,2901002,1
5868293,1435167,2
5687636,2110417,1
11003573,11796003,1
11003573,12377205,2
5491428,10913001,1
11363434,1212401,1
11463582,2901002,2
10313194,7508700,2
5703997,8300135,3
10332687,4909087,3
10332687,6858244,2
7932273,11205149,2
7932273,11566849,1
7932273,11221013,5
7932273,10908375,1
6428488,12289098,1
10262731,2901002,1
1692468,8084805,1
12134565,10818128,1
12134565,9081267,1
11322052,10828043,1
6043544,3348264,1
6043544,4238408,2
9834122,4238408,1
10896502,953482,2
6043544,2592393,1
12288754,9184784,1
5868293,4001592,4
5868293,2411802,1
3431964,4909087,4
5868293,2901002,10
4876561,9284423,3
1243255,4238408,1
5868293,5811078,2
11246230,2700072,4
8820330,9377366,4
9578831,8973620,1
9578831,9728163,2
12229568,9284423,2
6903126,9284423,3
6903126,532312,1
10636733,1838257,1
8650115,2901002,1
10896502,10189214,1
11841670,532312,1
1497720,2851685,1
1497720,4238408,3
10464003,2851685,2
11956484,12096012,1
11956484,11643870,2
9408112,9874393,1
12196221,5908433,1
2119941,4238408,1
10491430,6361531,2
11822295,3944322,3
11822295,11884237,1
11822295,10418812,1
12140563,6098068,1
1497720,4333359,2
11058050,5828160,1
9940344,2901002,1
5487719,7954504,3
11653862,8263801,2
6238676,3944322,1
1876739,8468264,2
7173956,12152061,1
10383617,7964527,2
10383617,2535611,3
11956484,5152563,1
11956484,4333359,3
5443574,5996972,2
11956484,2851685,2
10136912,4238408,2
11653862,2901002,2
11653862,8300135,3
4559989,1755108,3
6083404,9728885,1
10800593,2851685,1
11841670,2901002,1
946137,2901002,1
11853632,8300135,3
11135962,12076271,1
11135962,1999585,1
12063840,10397364,2
10443658,9840637,2
10443658,4238408,2
5212614,11037648,1
5212614,2336654,5
11911984,2198210,1
8266189,1453822,1
11753555,6477565,3
11753555,2901002,1
11753555,5770501,3
5487719,4238408,2
10552640,3483203,1
10552640,9463227,2
9389773,4238408,1
9389773,2851685,1
5487719,10426037,2
11783776,943978,1
10537237,11990697,1
5703997,1855988,1
9378830,6517513,1
12024595,4396243,1
6589617,2336654,5
6589617,4333359,1
9378830,1651543,2
9837354,9209546,2
11970440,4674445,1
11053294,3944322,3
11908896,6893256,2
12000031,1139196,1
3871499,10791931,1
3871499,8544123,1
7422143,532312,1
9431573,2535611,1
11956484,2901002,1
11956484,9081267,1
9580869,10734200,2
10808871,10818128,1
7535670,9840637,1
8266189,11747861,1
7353600,6361531,1
11872426,7388477,1
5703997,2592393,1
5703997,10740966,2
8359767,9698684,1
11135962,2901002,2
11884542,3763302,5
415088,9840637,2
415088,3742686,1
415088,1651543,2
11053294,7964527,1
11053294,2535611,2
7517610,2535611,1
2658898,2741091,2
8339485,51685,5
5250909,2703401,1
6664990,7295157,1
11941800,4909087,4
11939521,11864134,1
11939521,6512253,2
5703997,10837503,2
1033606,2947378,1
8821584,5282702,1
8382707,4333359,1
10407737,5282702,2
10407737,8544123,1
11853632,2901002,1
8446738,6361531,1
9585960,4333359,3
9585960,10140310,2
11639969,3483203,1
11601034,11607986,3
1033606,2901002,1
7728410,10837503,1
3631440,4585963,1
11880185,11607986,3
5055891,4354477,2
5072692,2535611,1
4996042,6361531,2
10808871,2901002,1
3656142,4390160,2
5868293,3483203,2
5868293,11205149,2
11878746,1592364,1
11878337,1592364,1
667355,5025009,3
11463582,9840637,2
4996042,10442615,1
667355,11849973,1
667355,6393053,3
667355,6440173,3
10632473,7093741,2
2598316,6200416,2
667355,11607986,3
10018602,10295265,1
11359253,6361531,2
11359253,4333359,3
11463582,6361531,2
9161607,2336654,5
11737596,11607986,1
5124600,11170205,1
11851719,10295265,1
9822593,10426037,6
11848326,11607986,1
6843546,11470719,1
5868293,9081267,1
11793041,2901002,1
8076217,2535611,1
11838431,4895877,1
11836102,1592364,1
10728472,11607986,3
10728472,9840637,2
10704050,9840637,1
10704050,11607986,2
11723147,6361531,1
11723147,11205149,1
9144386,9840637,1
808946,4337867,3
8150532,10201580,4
2679225,4238408,1
11773938,11607986,1
3249399,8094885,1
1479974,11797812,1
3689085,11607986,2
10808871,6858244,4
10808871,4245112,1
11783204,6512253,2
11781149,11607986,2
7691211,6695849,2
7691211,7776603,2
10750517,10734525,2
9921453,9698684,1
2401532,6573902,7
10375196,9840637,2
11027302,2901002,2
9940344,10201580,8
9940344,8320861,1
5868293,11747861,1
3143203,8123710,1
9195301,4909087,4
5864214,6925185,1
9944937,4238408,1
6896310,3412660,3
6896310,4238408,2
11181726,6361531,1
11181726,5776838,1
9099959,9840637,1
10018602,1832058,1
11600323,2336654,6
11600323,9840637,1
11600323,4238408,1
6759267,6361531,2
11729738,11607986,1
4829258,6779307,2
583464,9452151,2
270326,9609447,1
11135962,4238408,2
11565807,2901002,1
7462615,9081395,2
8346493,4909087,3
9099959,10201580,7
11075330,3228542,1
11075330,532312,1
11688141,7388477,1
9561497,2901002,1
6436846,6265630,1
6436846,10589070,1
2168400,8624538,1
5967886,4909087,3
9024698,2901002,2
5212614,699305,2
7547586,10041225,2
2242044,7835267,2
8993099,3476346,2
866364,4909087,3
9024698,8123710,2
10895812,4909087,1
9895978,7117003,3
7932273,4909087,5
11633760,6511941,3
10396157,5847854,1
4701426,10157759,1
3848207,9511702,2
3848207,2137255,2
11600098,9081267,2
292291,11592102,1
11616334,4909087,2
9024698,2336654,14
11600963,7131499,1
11600963,10888655,1
11600963,10157759,2
10539466,5331834,1
10539466,5359002,1
8791503,4238408,2
11135962,9840637,2
4133063,1237531,2
7469605,4686625,5
4982782,5811078,2
11585893,2284490,3
11523244,4238408,2
9024698,4238408,2
9024698,9840637,2
11135962,11492024,1
7535419,1240268,2
4375983,10286422,2
5868293,8123710,2
5868293,9840637,2
5868293,532312,1
8051444,6926444,3
9431573,9081267,1
10603191,9840637,1
10603191,10620028,4
6796805,4133641,2
11325655,7835267,3
11325655,10620028,5
8359315,4985733,1
8359315,8557832,1
8359315,9840637,2
2634219,4238408,4
7462428,10925936,1
7371506,9081267,1
7371506,6484158,2
6571327,7388477,1
11390915,10077617,4
10743315,10826178,1
10743315,2901002,2
11313583,2336654,4
11446382,1762211,2
6555335,2901002,1
6555335,4238408,2
10603191,3483203,1
10603191,4238408,1
10603191,1481986,2
5806136,1240268,1
10728472,7093741,1
10728472,9165263,1
3277133,2336654,6
11500955,4238408,2
6825505,9081267,4
8290376,6361531,6
8290376,6342575,6
11135962,9551447,1
2085438,9534184,1
11446190,4125116,1
11308135,2336654,6
8207612,10419999,1
6032016,2214597,1
6032016,9840637,2
8207612,2336654,7
8207612,9698684,1
8207612,4125116,1
8207612,4238408,2
9875052,532312,2
11035965,9537244,1
4278999,9537244,1
11082866,2901002,1
11135962,10201580,8
11135962,6422477,3
7932273,2901002,7
4430536,6047722,1
4430536,10005592,1
9925225,7388477,2
5520027,2842758,2
7930571,51685,3
3448011,5847854,1
11031361,4932316,1
11031361,3483203,1
9452512,6361531,2
11383307,10201580,4
208127,4909087,4
208127,1252759,2
7932273,9698684,1
7932273,4110614,2
7932273,7093741,1
11135962,4333359,3
11031361,5853611,1
11031361,10201580,7
11218700,10201580,5
9988582,10366273,2
4338000,4238408,2
4338000,9081267,1
11065684,794539,2
9927054,4333359,3
9927054,4125116,1
6920946,2336654,5
8749168,4983450,2
11330653,9081267,1
4004863,5173426,2
4004863,10007115,1
11322629,11323870,1
6480757,9081267,1
4004863,1240268,1
7247715,1499803,3
7247715,2832011,2
5212614,4333359,1
7313804,9214517,2
7313804,2255198,1
7081275,6625815,1
10193760,11255365,2
9988582,4238408,1
6744260,6652751,1
11300648,4333359,3
6799378,2421817,1
4804608,11137576,1
6239923,4333359,2
9288752,4909087,3
6239923,4909087,4
9933449,6287308,1
10115186,10964685,1
9940782,4909087,3
11174424,4909087,3
5375274,7053679,1
7932273,9840637,2
7932273,9976846,1
7932273,8123710,2
7932273,2958943,1
11241169,6349838,2
7881599,6361531,2
7881599,3735873,1
5375274,8123710,2
8901292,9840637,2
9758660,6287308,1
9758660,4333359,2
5322660,8410622,6
9142709,2864250,1
10970478,1762211,2
8219251,4550141,1
8219251,6220759,1
8219251,8111755,2
2308722,10895207,2
2308722,2901002,1
11210589,4333359,3
4150078,6779307,3
11109146,2901002,1
11109146,4909087,5
7671519,2901002,2
10494720,10964685,5
6414747,7505395,1
7590993,4819353,3
7590993,1782792,4
9936834,5847854,2
11132325,10201580,7
6674648,7237997,2
1839946,4909087,2
11146521,2901002,3
687739,8052902,1
8051444,2901002,6
5565466,9362747,2
5610840,3538107,2
10209499,2336654,4
10209499,4909087,2
11100832,10734525,3
8526986,4323,1
4436803,4490749,1
2293224,6942527,4
2716095,9129474,2
2716095,11035063,2
10755534,11021886,1
2198720,748858,5
11053304,7077050,1
8389470,6220759,1
7158436,6942527,2
7637930,4492932,1
9371703,10025972,1
6752994,2258013,2
9840637,4333359,1
4948889,4909087,2
1437138,9863207,1
5868293,8120908,1
8293309,4909087,3
6647375,4001592,1
2938496,4001592,1
501054,8953378,1
8727339,2084384,5
10985548,4893407,1
825227,7165168,1
825227,736937,1
2129285,11019173,2
2129285,4333359,2
5413088,2357112,1
9530105,9209546,6
7759833,9209546,3
8160881,9869695,1
8051444,10953743,2
8051444,2421817,3
8051444,9209546,5
6525082,1391671,2
4436803,4785185,9
1305886,8628758,2
9111050,5820814,1
10719867,4565947,2
10964500,9209546,2
10883088,8628758,2
8211523,9209546,2
8211523,9840637,1
2504762,2535611,1
5939036,2901002,1
10913191,7141506,1
4803521,9177877,3
9530105,7223727,2
9924147,9209546,2
8003817,10862252,2
8727339,2901002,3
9512152,5704863,6
9512152,7359176,6
8474517,5704863,2
10831574,5374924,1
1467082,2547724,1
7644267,10322766,1
10891071,5374924,1
10891071,1168212,1
9772551,9209546,2
9542954,3152047,1
9542954,9209546,2
7004463,6361531,2
10801499,9108239,1
3116949,4238408,1
3116949,4001592,1
10818522,6615163,1
10112876,2847946,1
1243255,9177877,1
1243255,9209546,2
1243255,4333359,2
10801499,3679377,1
10801499,9209546,3
10833061,9698684,1
10833061,9209546,3
10833061,4909087,5
10464813,4001592,1
10838789,1456927,1
5604992,4909087,1
10767482,4248842,1
10742470,5375464,1
4520017,4492932,2
2598876,772649,4
10805303,5820814,1
5120089,10201580,6
7420623,9209546,1
10211367,9307263,1
10150468,5820814,1
10516752,8467973,5
2170140,10067173,1
4317794,5516874,2
8791503,2891152,1
651174,542190,2
9431057,9209546,2
9978457,9209546,4
9978457,4909087,4
10719867,4390160,1
8791503,6047722,1
10741532,4909087,3
439621,4909087,3
2304735,9142590,2
2304735,7752296,1
1941253,5828883,2
9177877,4909087,3
3277133,4909087,12
9210757,9497965,1
9210757,4909087,5
6912791,4492932,3
9832302,9754169,1
5820814,3510736,2
8849216,6361531,2
8469518,10687003,3
7058823,4909087,4
10582772,541038,1
10582772,8146556,1
5704863,190597,1
9467345,3483203,2
9177877,9209546,2
10512735,9209546,2
1155578,6671176,2
10339255,3254400,1
9590712,4843503,1
10395806,7141506,1
10395806,6345518,1
10395806,6154787,1
9933449,9209546,2
766708,7954504,3
766708,7835267,3
766708,10633290,3
10395806,4279661,1
10096185,8708364,2
10096185,6296473,3
2260344,2901002,1
4520274,6799297,4
4520274,6866811,1
3936294,7954504,3
10586136,5811078,1
3800761,6108661,1
5218354,5811078,2
10609992,2336654,5
10530575,8146556,1
10530575,2336654,8
7081275,5820814,1
9932027,8111755,1
7810784,1163373,1
10464893,3279716,1
10464893,9492673,2
3277133,6671176,1
1243255,6671176,1
9629771,4333359,2
10535881,7954504,1
3277133,8643941,1
3277133,3483203,2
3277133,9209546,4
7698116,6342812,4
10561031,9108532,3
10561031,8305660,3
10561031,3894543,3
10561031,8146556,3
10561031,5535114,3
10518845,2901002,1
8792365,9209546,2
8792365,6858244,2
4370943,5015569,26
9466906,7505383,1
9629771,1766544,2
8167871,3254869,1
8636829,7964527,3
8636829,8046232,3
9629771,8283047,3
8444827,3423035,2
10424268,10255652,1
10424268,3462509,1
10424268,3386063,1
8167593,4585713,1
3987860,5811078,1
3088202,4333359,2
3432888,487339,2
3432888,3483203,1
10117424,4333359,1
10117424,9209546,1
681132,1541036,8
10458537,6361531,2
8570006,5224926,1
8570006,4333359,3
10321210,4333359,2
3494669,8320861,1
9218680,3483203,2
3259331,2336654,3
10095708,7835267,3
802589,9051284,4
10112876,5467038,1
10112876,9874393,1
8916162,6671176,2
9991654,7835267,3
6642287,9769953,1
10375012,4317058,1
9080252,6942527,4
8612523,2336654,6
10084965,2336654,5
601787,2260,1
5709240,8305660,1
5709240,2535611,2
10369881,7013576,1
3448738,6671176,1
9161067,2336654,4
2943311,3483203,1
3441488,3483203,1
7319366,3483203,1
2700041,943138,3
887651,8404453,1
887651,10201580,7
9629753,9209546,2
9530972,4819376,2
9530972,6814154,2
8670757,6361531,1
10324442,9209546,1
5560898,4557382,1
5560898,7388477,1
5560898,9177877,2
1725377,3483203,2
1725377,6087502,2
3861199,2901002,2
1725377,2535611,1
5724487,7964527,1
5724487,8305660,1
4631379,4333359,3
10099689,9209546,1
8377782,2137255,2
8377782,9209546,3
6109920,2823755,1
6109920,7592064,2
4850343,2336654,4
10112632,3793674,1
9118733,8320861,1
9118733,2137255,2
5560898,2336654,14
5560898,4909087,10
5560898,5224926,1
8203242,2336654,6
10112632,6671176,2
7134583,9209546,3
9524848,8749168,1
5560898,2285236,6
8705615,1773367,1
8705615,9209546,2
10266803,8959807,1
5560898,3483203,4
5560898,6671176,2
5560898,2535611,1
4487782,4909087,3
4487782,487339,1
3277133,4333359,2
8542692,4819449,2
8542692,3639023,1
10139745,233813,1
7332095,4909087,2
7183666,478288,1
5560898,9003475,2
5560898,2901002,1
4150078,9209546,1
2493856,2925052,1
8364914,4909087,2
8878774,7252651,2
5426588,1252759,1
10245736,1252759,2
6220759,4867193,2
6220759,7013576,1
6220759,6631196,1
9341104,3483203,2
10112632,2901002,1
9919494,3316882,2
9919494,1532172,3
9919494,17160,4
9793589,7223727,3
4005417,9209546,1
9727789,3483203,2
288609,3483203,1
8791503,2535611,1
7489488,9067615,1
8683269,2901002,1
9814693,9209546,1
9814693,4909087,3
9500464,9209546,1
10179907,9067615,2
10179907,308903,1
7319366,6671176,1
10164199,2413201,1
10112632,797495,1
9754169,6361531,1
9851762,5575238,1
4862326,2901002,1
5229651,9209546,3
7590993,4909087,3
10118268,1532460,4
3277133,4737952,1
5703997,9209546,6
9851762,2901002,1
7319366,5811078,1
1718956,4492932,1
7092900,2336654,5
2731627,2759482,1
4948889,704848,4
7058823,3483203,1
8007037,7668911,1
2520416,9209546,2
9305523,9209546,2
8007037,2535611,1
8007037,3483203,2
8007037,2137255,2
6930275,3112049,2
6930275,8371811,2
8117146,2303761,3
8913334,487339,6
1021602,9232410,3
8377782,2901002,1
4949486,5215507,1
4949486,7671874,1
10002343,532312,5
6571807,8898218,2
2560244,9209546,2
4930767,5745211,2
9896697,9462257,2
9347149,5458214,3
7828747,9274732,1
6621095,2535611,1
9099959,9209546,2
7705108,1106952,1
7705108,8747,3
7705108,870281,1
9915008,2336654,5
3071728,2336654,3
6745924,3483203,1
985805,9209546,1
9099959,2336654,6
9099959,5811078,1
9280381,7936002,1
9119615,9209546,3
7252868,2901002,1
9983733,5649747,1
4923452,2336654,8
9978457,6671176,1
9978457,8259064,2
6383397,4737952,2
4140027,2535611,1
9430995,4333359,3
9430995,1592364,1
5089491,4340985,5
3154212,4909087,8
9928075,9209546,1
9927674,4492932,3
9927674,416467,3
8683269,9085596,2
7406634,9209546,2
6064886,9209546,1
9572558,6361531,3
9572558,4323,3
1134881,9209546,2
3860993,9947339,1
9730578,8259064,4
8791503,9609447,2
8791503,3483203,2
8791503,5085211,3
1161841,736937,1
7398654,7716312,2
9929376,1252759,2
5703997,4333359,3
1972924,9274732,1
7476643,9209546,3
9563832,2901002,1
7535911,9209546,3
2463655,2336654,6
4140027,4909087,5
9814693,3063243,2
9456633,5811078,6
9456633,2901002,5
9456633,532312,5
3088202,6671176,2
219981,704848,6
8240649,9209546,2
8874771,7716312,5
4446712,9209546,2
4446712,7564333,3
1509695,1897678,2
8315659,444036,1
2835670,2867928,2
2835670,4909087,2
3766129,9209546,2
9797393,1975277,1
8973011,190597,2
9516819,4909087,4
5729272,4333359,2
8421707,3510736,1
2044409,3510736,2
5092352,9209546,1
8345434,4983450,2
9290070,2336654,5
9290070,9209546,1
5171347,6671176,8
4288043,9740103,1
5171347,5741205,6
5171347,3510736,9
6741482,487339,2
2497039,9209546,3
8595091,4909087,4
2948334,1648033,1
9299259,2296458,10
9559162,2336654,6
7705108,2336654,7
8792365,3510736,1
5550284,9209546,3
754176,487339,2
6736266,2901002,2
4663377,2666057,2
3449832,5811078,3
5424671,3510736,1
9648755,9209546,3
9586779,9209546,6
1362485,2336654,5
3990451,2336654,6
3990451,9209546,2
4815958,4582949,6
9609898,6671176,2
9605440,4333359,2
7552761,3510736,1
714319,4983450,4
7930571,4909087,5
6073158,8683182,1
7786035,8008776,3
9548894,4343502,4
6043544,7907591,2
6289601,9209546,2
6932758,6866811,1
6932758,8072983,2
9194769,4871110,1
5894276,2901002,3
9549286,4909087,3
4490400,9209546,2
7087474,9209546,2
9396878,1577947,1
9396878,9209546,3
7422287,189418,1
8783169,4492932,2
8783169,667883,1
2514936,9209546,2
5703997,9177877,2
9305276,9209546,2
6382434,6287308,1
8102068,9209546,1
8972207,5414307,1
8637577,4909087,2
8637577,2336654,4
9466906,7505395,1
9203524,2901002,4
1634753,9209546,2
1087908,9209546,1
1634753,4909087,4
8372455,4887682,3
8372455,6684107,1
3180352,1252759,1
3180352,9209546,1
3762120,2901002,2
3762120,9209546,3
9346665,9209546,2
7426965,9209546,2
8300917,9209546,2
7638546,2336654,4
7638546,4909087,2
8138305,9209546,3
8138305,667883,2
4561777,3877338,1
171318,2285236,3
6468053,6786975,2
6468053,2285236,4
9418328,9209546,3
9418328,2901002,1
9203524,6672746,8
8624402,2336654,6
5236124,2137255,2
5236124,1672128,1
3088202,4829258,2
6043544,4055021,1
6043544,9183344,1
7564704,2336654,4
9378512,9209546,3
9378512,7996271,1
7204030,2336654,6
9367408,1187220,2
9273350,9311370,1
9273350,9349968,6
3534551,667883,1
5839247,5080669,2
5839247,9209546,3
5839247,2901002,1
9347541,667883,2
9347541,9209546,3
755671,5241032,5
5993523,2901002,1
9095587,837534,1
7933539,4683950,2
45963,4492932,2
7070600,2336654,5
45963,2336654,6
45963,826983,3
6916973,837534,5
6916973,6147371,1
6916973,4579041,1
6780117,9209546,2
6096742,9209546,1
5120955,3919467,4
5985921,4829258,1
4710845,4983450,4
9248279,7311767,1
4363045,2901002,1
9108912,2102114,1
3581217,6388994,1
7426965,4909087,4
8349184,6509519,1
8960574,6509519,1
3120489,5851928,1
5839247,8841872,1
5839247,4909087,5
4148807,6054622,1
5336019,1281485,2
8936256,7661057,1
9173983,4909087,3
7595201,3704482,1
4796694,7311767,2
5438460,4829258,3
7478456,6149882,2
9134181,2901002,1
9036931,2901002,5
8801308,2901002,1
8801308,826983,4
9117548,8003790,2
5100922,4819376,1
5100922,5811078,1
7535156,1635180,4
7853947,7505395,4
9089567,4909087,2
9045698,6361531,1
9054360,5602504,1
5336018,6927601,5
5909441,8320861,1
4681134,2271269,9
4896331,6900838,1
7853947,826983,4
2740727,2137255,1
8970878,2901002,1
4608626,4044103,6
1734278,4983450,3
5109802,2285236,5
5665505,6287308,1
5703997,4887708,1
5703997,2464121,2
7804991,6361531,2
766708,2901002,1
766708,4800652,1
501054,2901002,1
501054,4800652,1
8950775,2857926,1
501054,2336654,7
4035529,7851470,1
8267109,8756315,2
8479607,4366229,1
2026781,2336654,4
8479607,4800652,1
7823253,6287308,1
7620499,3707720,1
2904588,2875563,1
5141727,4800652,2
7300005,2336654,2
7388024,5811078,2
3088202,4983450,3
8579043,190597,2
3166881,4909087,5
8729326,56541,1
7751504,6573902,2
7751504,2137255,2
5421539,4323,2
7853947,4800652,1
7853947,2336654,7
2480769,2336654,6
8690470,2901002,1
8622826,4359551,1
8622826,2137255,2
7853947,2901002,1
7853947,2236150,1
2717063,2336654,12
2717063,6361531,1
7326305,5393381,1
7954504,2336654,8
2856558,5393381,1
8194773,1782792,5
5703997,2901002,1
6678835,2901002,1
8572491,2336654,5
2717063,1762211,1
8144295,8231181,2
4623656,2137255,1
4825905,4642859,1
2244081,5276797,7
8266561,5916727,1
8266561,2074981,1
8290376,7964527,4
8290376,2324298,5
8290376,2901002,10
6421290,2901002,1
4663679,2336654,4
8351688,2336654,5
8436383,4365003,2
4321039,4323,2
3437787,2285236,3
8419482,2336654,6
7528751,8408934,1
7265880,2336654,6
7265880,6342575,1
7265880,4983450,3
8267167,2336654,5
8290376,2336654,22
8290376,7985142,8
8081595,1782792,7
2719598,6361531,1
7547749,2137255,2
7547749,1453822,1
7672533,6655211,3
8372455,2336654,9
8372455,2411802,3
8372455,4686625,16
8372455,4909087,7
6803114,2336654,5
4537383,6361531,1
5120955,6361531,1
6901159,6065591,2
7492284,7214344,2
2394952,7746385,3
7900140,4800652,2
7900140,8144295,1
5312971,2336654,4
7492284,5393381,3
7492284,2821252,1
8229816,6361531,1
8229816,5241032,7
8286317,667883,2
7954504,2285236,3
8229816,8231181,1
8266561,5300112,3
8266561,2285236,6
6005062,7982275,2
8227494,1404311,6
7574860,1577947,1
1058584,7688996,1
4704969,2336654,5
4704969,2285236,4
8177554,4492932,2
6304017,4049396,2
7836530,704848,6
8000201,2287299,1
4043845,6361531,4
6916973,7311767,3
6537007,7311767,1
3731467,6342575,4
7037746,2336654,6
7204030,487339,2
7584467,7311767,1
673760,2336654,4
7683796,667883,1
6866170,704848,14
6916973,4956987,2
5024531,2336654,7
977038,2901002,1
6560626,5085211,1
1115277,2336654,7
4949486,704848,4
6916973,6287308,2
4043845,2336654,14
4043845,624829,8
6916973,2901002,1
5332464,4323,1
4043845,3628236,5
4043845,1427416,4
4043845,5952674,3
4043845,6287308,2
7593646,6207849,4
7593646,2336654,7
7565818,2336654,6
1838999,3558644,1
1838999,42346,6
7565818,10238,1
7565818,42346,6
7391006,2336654,6
6916973,4356204,2
7696422,3558644,2
7696422,6053327,1
6916973,4686625,28
6916973,5869177,1
6916973,4787467,1
6916973,4983450,4
3848207,3027854,5
1761521,624829,7
489564,7366928,4
7112155,2748781,1
7615984,2336654,6
6916973,4082217,2
6916973,4323,2
4140027,2901002,2
4140027,1057443,1
7265880,3054161,2
2335820,7168677,3
6377863,2336654,6
1290680,7311767,6
3259331,2298070,9
6916973,4492932,3
3225420,2336654,7
3225420,487339,3
3225420,6287308,2
3225420,682797,1
3917349,624829,7
3993270,2901002,1
3993270,2336654,14
6637269,2901002,2
7493449,1936114,3
6592934,6779307,5
58634,3877338,1
58634,2336654,4
6592934,6207849,4
6592934,2901002,1
6106842,3707607,3
7421001,3707607,2
717880,2336654,3
3113510,3067241,1
3993270,545438,1
3993270,4983450,4
5155413,704848,3
4140027,5806746,3
4140027,4983450,4
950280,4983450,3
7350180,4983450,4
1909918,2336654,10
7323821,2336654,7
6511941,4983450,1
7008941,1609428,2
7008941,6596015,2
5467595,2543372,1
3142347,6207849,4
5869177,6207849,3
7008941,6924242,4
6646696,49559,1
7008941,2285236,5
4727766,704848,1
7008941,189418,1
4727766,624829,2
4727766,2336654,1
4140027,378704,1
4114372,2285236,4
7076909,6900523,1
7076909,4983450,4
4114372,5626112,2
1067308,2336654,6
6866170,2336654,7
2965601,2285236,6
6828360,704848,6
2039162,12663,1
3751373,6207849,8
336527,4983450,2
1909918,6207849,2
6665281,2336654,5
959937,6657815,2
4596596,2336654,5
1017917,3455794,1
1017917,2483271,2
1017917,3732271,2
1017917,4983450,5
4642859,2336654,4
1909918,2285236,4
4596596,5648958,1
771848,5717589,1
2333196,2336654,3
6538950,2285236,5
6377863,4983450,3
6377863,3339965,1
4032552,2901002,1
336527,699305,2
5857901,2336654,6
514210,4686625,11
6246100,1320510,1
1181744,257465,5
5816243,1624921,1
5816243,2549021,1
6240629,4983290,2
2826011,3628236,2
2826011,1910242,1
3798597,190597,2
6168738,2826011,3
6168738,3691783,3
6168738,2901002,1
4774724,704848,7
4797524,5976265,4
336527,3510736,1
6019463,3510736,3
6019463,2411802,1
674301,1502891,2
5931373,2028710,2
5872497,5276797,11
5826447,837534,3
3165737,2901002,1
5799632,837534,4
5799632,704848,6
5569314,1968405,1
690430,704848,10
2293224,707650,3
4805990,487339,1
4805990,704848,5
3682157,704848,1
3034614,704848,5
